slide_id,process,status,seg_level,sthresh,mthresh,close,use_otsu,keep_ids,exclude_ids,a_t,a_h,max_n_holes,vis_level,line_thickness,use_padding,contour_fn
10_OOU198_EC-SC,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
11_OOU217_EC-SC,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
12_OOU282_CC_1000022,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
13_OOU306_EC-SC,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
14_OOU324_EC-SC,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
15_OOU325_SC-CC_1000023,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
16_OOU470_MC_1000050,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
17_OOU495_SC_1000019,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
18_OOU508_EC_1000038,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
19_OOU516_SC-CC_1000044,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
1_OOU6_EC-SC_1000042,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
20_OOU518_EC_1000045,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
21_OOU522_SC-CC_1000031,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
22_OOU525_EC_1000017,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
23_OOU528_EC_1000018,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
24_OOU529_MC_1000048,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
25_OOU531_SC_1000020,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
26_OOU532_SC_1000021,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
27_OOU533_CC_1000053,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
28_OOU536_SC_1000052,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
29_OOU537_CC_rescan,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
2_OOU25_MC_1000054,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
30_OOU538_SC_1000051,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
31_OOU326_EC-SC_1000027,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
32_OOU396_SC-CC_1000036,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
33_OOU411_SC-CC_rescan,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
34_OOU480_EC_1000046,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
35_OOU494_CC_1000047,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
36_VOA351_LGSC,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
37_VOA440_LGSC,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
38_VOA495_LGSC,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
39_VOA617_LGSC,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
3_OOU58_CC_1000049,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
40_VOA729_LGSC,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
4_OOU63_MC_1000037,0,processed,3,8,7,4,False,none,none,100.0,16.0,8,3,250,True,four_pt
5_OOU84_MC_1000034,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
6_OOU88_EC-SC_1000029,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
7_OOU169_EC-SC_1000033,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
8_OOU170_EC-SC_,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
9_OOU185_EC-SC_,0,processed,2,8,7,4,False,none,none,100.0,16.0,8,2,250,True,four_pt
