,train,val,test
0,286_thumbnail,4608_thumbnail,2666_thumbnail
1,1943_thumbnail,4877_thumbnail,6281_thumbnail
2,1952_thumbnail,7204_thumbnail,9658_thumbnail
3,2906_thumbnail,10469_thumbnail,11431_thumbnail
4,3191_thumbnail,10548_thumbnail,13526_thumbnail
5,3222_thumbnail,12522_thumbnail,16064_thumbnail
6,3511_thumbnail,18014_thumbnail,20205_thumbnail
7,4827_thumbnail,19569_thumbnail,22489_thumbnail
8,5265_thumbnail,25604_thumbnail,25928_thumbnail
9,5970_thumbnail,27851_thumbnail,27315_thumbnail
10,6359_thumbnail,30272_thumbnail,39269_thumbnail
11,6363_thumbnail,34822_thumbnail,42296_thumbnail
12,6449_thumbnail,35754_thumbnail,44232_thumbnail
13,6793_thumbnail,38687_thumbnail,44700_thumbnail
14,7329_thumbnail,44581_thumbnail,45725_thumbnail
15,7482_thumbnail,50962_thumbnail,50246_thumbnail
16,7490_thumbnail,52375_thumbnail,51499_thumbnail
17,8279_thumbnail,52846_thumbnail,53900_thumbnail
18,8531_thumbnail,53402_thumbnail,55287_thumbnail
19,10077_thumbnail,54928_thumbnail,57711_thumbnail
20,10246_thumbnail,63289_thumbnail,64771_thumbnail
21,10800_thumbnail,,
22,11263_thumbnail,,
23,12222_thumbnail,,
24,12442_thumbnail,,
25,12902_thumbnail,,
26,13987_thumbnail,,
27,14051_thumbnail,,
28,14401_thumbnail,,
29,14424_thumbnail,,
30,14617_thumbnail,,
31,15188_thumbnail,,
32,15231_thumbnail,,
33,15486_thumbnail,,
34,15671_thumbnail,,
35,15742_thumbnail,,
36,15912_thumbnail,,
37,16325_thumbnail,,
38,16876_thumbnail,,
39,17067_thumbnail,,
40,17291_thumbnail,,
41,17487_thumbnail,,
42,17738_thumbnail,,
43,18138_thumbnail,,
44,18607_thumbnail,,
45,18810_thumbnail,,
46,18813_thumbnail,,
47,19030_thumbnail,,
48,20882_thumbnail,,
49,21232_thumbnail,,
50,21373_thumbnail,,
51,21910_thumbnail,,
52,21929_thumbnail,,
53,22155_thumbnail,,
54,22221_thumbnail,,
55,22290_thumbnail,,
56,22425_thumbnail,,
57,22740_thumbnail,,
58,22924_thumbnail,,
59,23629_thumbnail,,
60,24023_thumbnail,,
61,24563_thumbnail,,
62,25923_thumbnail,,
63,26219_thumbnail,,
64,26533_thumbnail,,
65,26939_thumbnail,,
66,26950_thumbnail,,
67,28066_thumbnail,,
68,28603_thumbnail,,
69,28736_thumbnail,,
70,29615_thumbnail,,
71,29915_thumbnail,,
72,30203_thumbnail,,
73,30369_thumbnail,,
74,30515_thumbnail,,
75,30712_thumbnail,,
76,30792_thumbnail,,
77,31033_thumbnail,,
78,31383_thumbnail,,
79,32032_thumbnail,,
80,32042_thumbnail,,
81,32432_thumbnail,,
82,32636_thumbnail,,
83,33984_thumbnail,,
84,34690_thumbnail,,
85,35197_thumbnail,,
86,35909_thumbnail,,
87,35953_thumbnail,,
88,36063_thumbnail,,
89,38118_thumbnail,,
90,38349_thumbnail,,
91,38479_thumbnail,,
92,38647_thumbnail,,
93,38669_thumbnail,,
94,38901_thumbnail,,
95,39880_thumbnail,,
96,40079_thumbnail,,
97,40124_thumbnail,,
98,40129_thumbnail,,
99,40503_thumbnail,,
100,40888_thumbnail,,
101,42125_thumbnail,,
102,42549_thumbnail,,
103,43280_thumbnail,,
104,43796_thumbnail,,
105,43998_thumbnail,,
106,44283_thumbnail,,
107,44804_thumbnail,,
108,44962_thumbnail,,
109,44976_thumbnail,,
110,45630_thumbnail,,
111,45990_thumbnail,,
112,46444_thumbnail,,
113,46543_thumbnail,,
114,46688_thumbnail,,
115,46769_thumbnail,,
116,47105_thumbnail,,
117,47960_thumbnail,,
118,48506_thumbnail,,
119,49942_thumbnail,,
120,49995_thumbnail,,
121,50048_thumbnail,,
122,50304_thumbnail,,
123,51032_thumbnail,,
