,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.787037037037037,0.962962962962963,0.6666666666666667,0.9047619047619048
1,1,1.0,0.8703703703703702,0.8095238095238095,0.8571428571428572
2,2,0.8518518518518519,0.9259259259259259,0.7142857142857143,0.8571428571428572
3,3,0.787037037037037,0.8703703703703705,0.7142857142857143,0.8095238095238095
4,4,0.8518518518518519,0.5740740740740741,0.8571428571428572,0.5714285714285714
5,5,0.8333333333333333,0.9722222222222222,0.8095238095238095,0.9523809523809523
6,6,0.9074074074074074,0.8888888888888888,0.7619047619047619,0.7619047619047619
7,7,1.0,0.8425925925925926,0.9523809523809523,0.7619047619047619
8,8,0.8425925925925926,1.0,0.8571428571428572,0.9523809523809523
9,9,0.8518518518518519,1.0,0.7619047619047619,1.0
