,train,val,test
0,4_thumbnail,970_thumbnail,2227_thumbnail
1,66_thumbnail,1952_thumbnail,3191_thumbnail
2,281_thumbnail,3084_thumbnail,5015_thumbnail
3,286_thumbnail,4211_thumbnail,6140_thumbnail
4,431_thumbnail,4608_thumbnail,6843_thumbnail
5,706_thumbnail,4827_thumbnail,8130_thumbnail
6,1020_thumbnail,6359_thumbnail,9341_thumbnail
7,1080_thumbnail,6363_thumbnail,9658_thumbnail
8,1101_thumbnail,6951_thumbnail,10469_thumbnail
9,1252_thumbnail,7329_thumbnail,10800_thumbnail
10,1289_thumbnail,10143_thumbnail,13364_thumbnail
11,1774_thumbnail,12159_thumbnail,17067_thumbnail
12,1925_thumbnail,12244_thumbnail,17365_thumbnail
13,1943_thumbnail,14051_thumbnail,18568_thumbnail
14,2097_thumbnail,15139_thumbnail,19030_thumbnail
15,2391_thumbnail,15221_thumbnail,21929_thumbnail
16,2666_thumbnail,15231_thumbnail,22155_thumbnail
17,2706_thumbnail,15742_thumbnail,24023_thumbnail
18,2906_thumbnail,17174_thumbnail,24991_thumbnail
19,3055_thumbnail,21303_thumbnail,25331_thumbnail
20,3092_thumbnail,22290_thumbnail,26862_thumbnail
21,3098_thumbnail,22740_thumbnail,28922_thumbnail
22,3222_thumbnail,29240_thumbnail,29615_thumbnail
23,3264_thumbnail,30508_thumbnail,29888_thumbnail
24,3511_thumbnail,30792_thumbnail,30515_thumbnail
25,3672_thumbnail,32112_thumbnail,31793_thumbnail
26,3881_thumbnail,33976_thumbnail,32596_thumbnail
27,3997_thumbnail,34688_thumbnail,34720_thumbnail
28,4797_thumbnail,34822_thumbnail,35592_thumbnail
29,4877_thumbnail,35792_thumbnail,36204_thumbnail
30,4963_thumbnail,37655_thumbnail,36513_thumbnail
31,5114_thumbnail,39252_thumbnail,38019_thumbnail
32,5264_thumbnail,39425_thumbnail,38687_thumbnail
33,5265_thumbnail,43998_thumbnail,38849_thumbnail
34,5307_thumbnail,44804_thumbnail,38901_thumbnail
35,5456_thumbnail,44962_thumbnail,39893_thumbnail
36,5851_thumbnail,45990_thumbnail,40503_thumbnail
37,5852_thumbnail,50712_thumbnail,46444_thumbnail
38,5970_thumbnail,52752_thumbnail,48502_thumbnail
39,5992_thumbnail,52784_thumbnail,48861_thumbnail
40,6175_thumbnail,54506_thumbnail,51346_thumbnail
41,6281_thumbnail,56947_thumbnail,51499_thumbnail
42,6449_thumbnail,57468_thumbnail,53098_thumbnail
43,6558_thumbnail,60058_thumbnail,54007_thumbnail
44,6582_thumbnail,60988_thumbnail,54590_thumbnail
45,6793_thumbnail,61424_thumbnail,56861_thumbnail
46,6898_thumbnail,62476_thumbnail,57711_thumbnail
47,7204_thumbnail,63121_thumbnail,59002_thumbnail
48,7482_thumbnail,63897_thumbnail,59383_thumbnail
49,7490_thumbnail,64950_thumbnail,61852_thumbnail
50,8213_thumbnail,,
51,8240_thumbnail,,
52,8279_thumbnail,,
53,8531_thumbnail,,
54,8713_thumbnail,,
55,8805_thumbnail,,
56,8985_thumbnail,,
57,9154_thumbnail,,
58,9183_thumbnail,,
59,9254_thumbnail,,
60,9509_thumbnail,,
61,9697_thumbnail,,
62,10077_thumbnail,,
63,10246_thumbnail,,
64,10252_thumbnail,,
65,10548_thumbnail,,
66,10642_thumbnail,,
67,10896_thumbnail,,
68,11263_thumbnail,,
69,11417_thumbnail,,
70,11431_thumbnail,,
71,11557_thumbnail,,
72,11559_thumbnail,,
73,12222_thumbnail,,
74,12442_thumbnail,,
75,12522_thumbnail,,
76,12902_thumbnail,,
77,13387_thumbnail,,
78,13526_thumbnail,,
79,13987_thumbnail,,
80,14039_thumbnail,,
81,14127_thumbnail,,
82,14312_thumbnail,,
83,14401_thumbnail,,
84,14424_thumbnail,,
85,14532_thumbnail,,
86,14542_thumbnail,,
87,14617_thumbnail,,
88,15188_thumbnail,,
89,15209_thumbnail,,
90,15293_thumbnail,,
91,15486_thumbnail,,
92,15583_thumbnail,,
93,15671_thumbnail,,
94,15871_thumbnail,,
95,15912_thumbnail,,
96,16042_thumbnail,,
97,16064_thumbnail,,
98,16209_thumbnail,,
99,16325_thumbnail,,
