,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8483256942651604,0.9444967274294266,0.6,0.8
1,1,0.9016054071808768,0.8960229280799419,0.7,0.6799999999999999
2,2,0.9035421138076967,0.9182803304625576,0.6599999999999999,0.76
3,3,0.9108176075786301,0.8326557463672956,0.64,0.64
4,4,0.886504884668736,0.9054741762317693,0.7,0.78
5,5,0.8467254735307327,0.9319377576631332,0.6,0.72
6,6,0.8800463230393483,0.8927644566065889,0.7,0.5800000000000001
7,7,0.8596157183038166,0.9628738835240366,0.6599999999999999,0.78
8,8,0.884093093895622,0.8804552962225409,0.6799999999999999,0.64
9,9,0.9196131593717782,0.9092077761473808,0.74,0.72
