,train,val,test
0,66_thumbnail,970_thumbnail,4_thumbnail
1,281_thumbnail,1774_thumbnail,1101_thumbnail
2,286_thumbnail,2227_thumbnail,1252_thumbnail
3,431_thumbnail,6898_thumbnail,1925_thumbnail
4,706_thumbnail,8213_thumbnail,3055_thumbnail
5,1020_thumbnail,8713_thumbnail,3084_thumbnail
6,1080_thumbnail,12159_thumbnail,3191_thumbnail
7,1289_thumbnail,14039_thumbnail,3881_thumbnail
8,1943_thumbnail,16064_thumbnail,4608_thumbnail
9,1952_thumbnail,17067_thumbnail,4877_thumbnail
10,2097_thumbnail,19030_thumbnail,5970_thumbnail
11,2391_thumbnail,21432_thumbnail,6582_thumbnail
12,2666_thumbnail,21910_thumbnail,7204_thumbnail
13,2706_thumbnail,22221_thumbnail,9341_thumbnail
14,2906_thumbnail,24759_thumbnail,10800_thumbnail
15,3092_thumbnail,25928_thumbnail,12222_thumbnail
16,3098_thumbnail,28821_thumbnail,12442_thumbnail
17,3222_thumbnail,29200_thumbnail,13387_thumbnail
18,3264_thumbnail,30515_thumbnail,15871_thumbnail
19,3511_thumbnail,32636_thumbnail,18014_thumbnail
20,3672_thumbnail,33708_thumbnail,20463_thumbnail
21,3997_thumbnail,34247_thumbnail,21303_thumbnail
22,4211_thumbnail,34277_thumbnail,22155_thumbnail
23,4797_thumbnail,34649_thumbnail,25604_thumbnail
24,4827_thumbnail,34688_thumbnail,26939_thumbnail
25,4963_thumbnail,34720_thumbnail,27747_thumbnail
26,5015_thumbnail,38097_thumbnail,28028_thumbnail
27,5114_thumbnail,38118_thumbnail,31300_thumbnail
28,5264_thumbnail,39208_thumbnail,31333_thumbnail
29,5265_thumbnail,39252_thumbnail,33839_thumbnail
30,5307_thumbnail,40129_thumbnail,34508_thumbnail
31,5456_thumbnail,44581_thumbnail,34690_thumbnail
32,5851_thumbnail,44976_thumbnail,35197_thumbnail
33,5852_thumbnail,45104_thumbnail,35592_thumbnail
34,5992_thumbnail,45990_thumbnail,35652_thumbnail
35,6140_thumbnail,48502_thumbnail,35792_thumbnail
36,6175_thumbnail,50304_thumbnail,35998_thumbnail
37,6281_thumbnail,51128_thumbnail,37367_thumbnail
38,6359_thumbnail,52275_thumbnail,39728_thumbnail
39,6363_thumbnail,57100_thumbnail,44283_thumbnail
40,6449_thumbnail,57598_thumbnail,45630_thumbnail
41,6558_thumbnail,58974_thumbnail,46435_thumbnail
42,6793_thumbnail,59383_thumbnail,46688_thumbnail
43,6843_thumbnail,61089_thumbnail,47020_thumbnail
44,6951_thumbnail,61320_thumbnail,51499_thumbnail
45,7329_thumbnail,61493_thumbnail,52836_thumbnail
46,7482_thumbnail,63165_thumbnail,53402_thumbnail
47,7490_thumbnail,63429_thumbnail,53688_thumbnail
48,8130_thumbnail,64111_thumbnail,61852_thumbnail
49,8240_thumbnail,64771_thumbnail,63367_thumbnail
50,8279_thumbnail,,
51,8531_thumbnail,,
52,8805_thumbnail,,
53,8985_thumbnail,,
54,9154_thumbnail,,
55,9183_thumbnail,,
56,9254_thumbnail,,
57,9509_thumbnail,,
58,9658_thumbnail,,
59,9697_thumbnail,,
60,10077_thumbnail,,
61,10143_thumbnail,,
62,10246_thumbnail,,
63,10252_thumbnail,,
64,10469_thumbnail,,
65,10548_thumbnail,,
66,10642_thumbnail,,
67,10896_thumbnail,,
68,11263_thumbnail,,
69,11417_thumbnail,,
70,11431_thumbnail,,
71,11557_thumbnail,,
72,11559_thumbnail,,
73,12244_thumbnail,,
74,12522_thumbnail,,
75,12902_thumbnail,,
76,13364_thumbnail,,
77,13526_thumbnail,,
78,13987_thumbnail,,
79,14051_thumbnail,,
80,14127_thumbnail,,
81,14312_thumbnail,,
82,14401_thumbnail,,
83,14424_thumbnail,,
84,14532_thumbnail,,
85,14542_thumbnail,,
86,14617_thumbnail,,
87,15139_thumbnail,,
88,15188_thumbnail,,
89,15209_thumbnail,,
90,15221_thumbnail,,
91,15231_thumbnail,,
92,15293_thumbnail,,
93,15486_thumbnail,,
94,15583_thumbnail,,
95,15671_thumbnail,,
96,15742_thumbnail,,
97,15912_thumbnail,,
98,16042_thumbnail,,
99,16209_thumbnail,,
100,16325_thumbnail,,
101,16876_thumbnail,,
102,16986_thumbnail,,
103,17174_thumbnail,,
104,17291_thumbnail,,
105,17365_thumbnail,,
106,17416_thumbnail,,
107,17487_thumbnail,,
108,17738_thumbnail,,
109,17854_thumbnail,,
110,18138_thumbnail,,
111,18196_thumbnail,,
112,18547_thumbnail,,
113,18568_thumbnail,,
114,18607_thumbnail,,
115,18810_thumbnail,,
116,18813_thumbnail,,
117,18896_thumbnail,,
118,18914_thumbnail,,
