,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8485526851159664,0.9560789398686559,0.56,0.74
1,1,0.9046750961275887,0.8915164277388172,0.72,0.74
2,2,0.893522714160983,0.9054258722463452,0.7,0.7
3,3,0.8964149840233622,0.858306273845167,0.6,0.6799999999999999
4,4,0.8996514900444514,0.9004334635054256,0.72,0.72
5,5,0.8311015453212326,0.9343717582800384,0.6599999999999999,0.7
6,6,0.8774311595653973,0.8779474389585573,0.6,0.6
7,7,0.8787211191457882,0.9513528919261868,0.64,0.78
8,8,0.8307997821188433,0.8413934629054444,0.6799999999999999,0.6
9,9,0.9127371632662793,0.8857244722586441,0.6599999999999999,0.6599999999999999
