,train,val,test
0,4_thumbnail,1020_thumbnail,1774_thumbnail
1,66_thumbnail,2666_thumbnail,2391_thumbnail
2,281_thumbnail,4211_thumbnail,3084_thumbnail
3,286_thumbnail,5851_thumbnail,3098_thumbnail
4,431_thumbnail,8531_thumbnail,3511_thumbnail
5,706_thumbnail,8985_thumbnail,4797_thumbnail
6,970_thumbnail,9658_thumbnail,5015_thumbnail
7,1080_thumbnail,13364_thumbnail,5264_thumbnail
8,1101_thumbnail,14051_thumbnail,8279_thumbnail
9,1252_thumbnail,14617_thumbnail,8713_thumbnail
10,1289_thumbnail,15221_thumbnail,10642_thumbnail
11,1925_thumbnail,15231_thumbnail,12522_thumbnail
12,1943_thumbnail,15583_thumbnail,12902_thumbnail
13,1952_thumbnail,17067_thumbnail,13387_thumbnail
14,2097_thumbnail,20858_thumbnail,13987_thumbnail
15,2227_thumbnail,24563_thumbnail,16986_thumbnail
16,2706_thumbnail,25256_thumbnail,20205_thumbnail
17,2906_thumbnail,25923_thumbnail,21929_thumbnail
18,3055_thumbnail,26190_thumbnail,22489_thumbnail
19,3092_thumbnail,26939_thumbnail,24507_thumbnail
20,3191_thumbnail,28066_thumbnail,26862_thumbnail
21,3222_thumbnail,28603_thumbnail,28393_thumbnail
22,3264_thumbnail,28736_thumbnail,30792_thumbnail
23,3672_thumbnail,31333_thumbnail,34649_thumbnail
24,3881_thumbnail,32112_thumbnail,35909_thumbnail
25,3997_thumbnail,33708_thumbnail,36063_thumbnail
26,4608_thumbnail,34508_thumbnail,36513_thumbnail
27,4827_thumbnail,35592_thumbnail,37190_thumbnail
28,4877_thumbnail,36639_thumbnail,38097_thumbnail
29,4963_thumbnail,37307_thumbnail,38535_thumbnail
30,5114_thumbnail,38647_thumbnail,39144_thumbnail
31,5265_thumbnail,45104_thumbnail,39146_thumbnail
32,5307_thumbnail,45185_thumbnail,39255_thumbnail
33,5456_thumbnail,45630_thumbnail,39269_thumbnail
34,5852_thumbnail,48502_thumbnail,39297_thumbnail
