,folds,test_auc,val_auc,test_acc,val_acc
0,0,0.8404409209601447,0.9150318408556588,0.6799999999999999,0.76
1,1,0.8626360928588825,0.8513274049447555,0.74,0.74
2,2,0.8119238756133884,0.8983577897462419,0.6,0.7
3,3,0.8632476627998124,0.8665043433415025,0.62,0.6799999999999999
4,4,0.8827776030378356,0.9062252509664234,0.6799999999999999,0.8
5,5,0.7877696031866701,0.9122536720514368,0.6,0.74
6,6,0.9236186990861803,0.8574429019673182,0.76,0.64
7,7,0.866924204930972,0.9262848808189584,0.64,0.76
8,8,0.82606023459937,0.8344197147712592,0.6799999999999999,0.64
9,9,0.8662684199803637,0.7850279021807025,0.6599999999999999,0.6
