,train,val,test
0,4_thumbnail,1020_thumbnail,1080_thumbnail
1,66_thumbnail,1925_thumbnail,1952_thumbnail
2,281_thumbnail,2666_thumbnail,2227_thumbnail
3,286_thumbnail,3092_thumbnail,3191_thumbnail
4,431_thumbnail,5114_thumbnail,3264_thumbnail
5,706_thumbnail,5264_thumbnail,3881_thumbnail
6,970_thumbnail,6363_thumbnail,4963_thumbnail
7,1101_thumbnail,6793_thumbnail,5015_thumbnail
8,1252_thumbnail,8240_thumbnail,5851_thumbnail
9,1289_thumbnail,9697_thumbnail,6140_thumbnail
10,1774_thumbnail,10246_thumbnail,7490_thumbnail
11,1943_thumbnail,10469_thumbnail,9509_thumbnail
12,2097_thumbnail,14127_thumbnail,11417_thumbnail
13,2391_thumbnail,16064_thumbnail,13387_thumbnail
14,2706_thumbnail,16986_thumbnail,14617_thumbnail
15,2906_thumbnail,18810_thumbnail,15209_thumbnail
16,3055_thumbnail,22489_thumbnail,17291_thumbnail
17,3084_thumbnail,22924_thumbnail,20882_thumbnail
18,3098_thumbnail,26862_thumbnail,21929_thumbnail
19,3222_thumbnail,29888_thumbnail,23629_thumbnail
20,3511_thumbnail,30272_thumbnail,27851_thumbnail
21,3672_thumbnail,30369_thumbnail,28393_thumbnail
22,3997_thumbnail,31333_thumbnail,28562_thumbnail
23,4211_thumbnail,32596_thumbnail,28736_thumbnail
24,4608_thumbnail,34508_thumbnail,29240_thumbnail
25,4797_thumbnail,36499_thumbnail,29615_thumbnail
26,4827_thumbnail,38018_thumbnail,30712_thumbnail
27,4877_thumbnail,38669_thumbnail,31473_thumbnail
28,5265_thumbnail,38687_thumbnail,32636_thumbnail
29,5307_thumbnail,38849_thumbnail,33984_thumbnail
30,5456_thumbnail,39208_thumbnail,34247_thumbnail
31,5852_thumbnail,39728_thumbnail,34277_thumbnail
32,5970_thumbnail,41801_thumbnail,34649_thumbnail
33,5992_thumbnail,44530_thumbnail,35197_thumbnail
34,6175_thumbnail,46688_thumbnail,37190_thumbnail
35,6281_thumbnail,47020_thumbnail,38349_thumbnail
36,6359_thumbnail,47911_thumbnail,38585_thumbnail
37,6449_thumbnail,47960_thumbnail,39252_thumbnail
38,6558_thumbnail,48506_thumbnail,39425_thumbnail
39,6582_thumbnail,50878_thumbnail,40129_thumbnail
40,6843_thumbnail,51128_thumbnail,50589_thumbnail
41,6898_thumbnail,51679_thumbnail,53098_thumbnail
42,6951_thumbnail,52108_thumbnail,53688_thumbnail
43,7204_thumbnail,56993_thumbnail,53859_thumbnail
