,train,val,test
0,286_thumbnail,44804_thumbnail,15742_thumbnail
1,2666_thumbnail,5265_thumbnail,15188_thumbnail
2,3222_thumbnail,16064_thumbnail,56875_thumbnail
3,3511_thumbnail,10469_thumbnail,12522_thumbnail
4,4608_thumbnail,43998_thumbnail,46444_thumbnail
5,6281_thumbnail,53402_thumbnail,63836_thumbnail
6,6363_thumbnail,19569_thumbnail,54408_thumbnail
7,6793_thumbnail,38901_thumbnail,59900_thumbnail
8,7204_thumbnail,34690_thumbnail,22221_thumbnail
9,7329_thumbnail,2906_thumbnail,51215_thumbnail
10,7490_thumbnail,25604_thumbnail,52836_thumbnail
11,8531_thumbnail,51128_thumbnail,31383_thumbnail
12,10077_thumbnail,13526_thumbnail,64824_thumbnail
13,10246_thumbnail,25923_thumbnail,28603_thumbnail
14,10800_thumbnail,30369_thumbnail,44581_thumbnail
15,11431_thumbnail,14051_thumbnail,29915_thumbnail
16,12902_thumbnail,20205_thumbnail,4827_thumbnail
17,14401_thumbnail,21929_thumbnail,48506_thumbnail
18,14424_thumbnail,56861_thumbnail,63015_thumbnail
19,14617_thumbnail,44976_thumbnail,22425_thumbnail
20,15671_thumbnail,22290_thumbnail,13987_thumbnail
21,15912_thumbnail,,
22,17487_thumbnail,,
23,17738_thumbnail,,
24,18138_thumbnail,,
25,18607_thumbnail,,
26,18810_thumbnail,,
27,19030_thumbnail,,
28,20882_thumbnail,,
29,21232_thumbnail,,
30,21373_thumbnail,,
31,21910_thumbnail,,
32,22740_thumbnail,,
33,22924_thumbnail,,
34,23629_thumbnail,,
35,24023_thumbnail,,
36,26939_thumbnail,,
37,27851_thumbnail,,
38,28066_thumbnail,,
39,28736_thumbnail,,
40,30515_thumbnail,,
41,30712_thumbnail,,
42,30792_thumbnail,,
43,32042_thumbnail,,
44,32432_thumbnail,,
45,32636_thumbnail,,
46,33984_thumbnail,,
47,34822_thumbnail,,
48,35754_thumbnail,,
49,35909_thumbnail,,
50,35953_thumbnail,,
51,38118_thumbnail,,
52,38479_thumbnail,,
53,38647_thumbnail,,
54,39269_thumbnail,,
55,40079_thumbnail,,
56,40124_thumbnail,,
57,40503_thumbnail,,
58,43280_thumbnail,,
59,44232_thumbnail,,
60,44700_thumbnail,,
61,44962_thumbnail,,
62,45630_thumbnail,,
63,46688_thumbnail,,
64,47105_thumbnail,,
65,49942_thumbnail,,
66,49995_thumbnail,,
67,50048_thumbnail,,
68,50246_thumbnail,,
69,50304_thumbnail,,
70,1943_thumbnail,,
71,1952_thumbnail,,
72,3191_thumbnail,,
73,4877_thumbnail,,
74,5970_thumbnail,,
75,6359_thumbnail,,
76,6449_thumbnail,,
77,7482_thumbnail,,
78,8279_thumbnail,,
79,9658_thumbnail,,
80,10548_thumbnail,,
81,11263_thumbnail,,
82,12222_thumbnail,,
83,12442_thumbnail,,
84,15231_thumbnail,,
85,15486_thumbnail,,
86,16325_thumbnail,,
87,16876_thumbnail,,
88,17067_thumbnail,,
89,17291_thumbnail,,
90,18014_thumbnail,,
91,18813_thumbnail,,
92,22155_thumbnail,,
93,22489_thumbnail,,
94,24563_thumbnail,,
95,25928_thumbnail,,
96,26219_thumbnail,,
97,26533_thumbnail,,
98,26950_thumbnail,,
99,27315_thumbnail,,
100,29615_thumbnail,,
101,30203_thumbnail,,
102,30272_thumbnail,,
103,31033_thumbnail,,
104,32032_thumbnail,,
105,35197_thumbnail,,
106,36063_thumbnail,,
107,38349_thumbnail,,
108,38669_thumbnail,,
109,38687_thumbnail,,
110,39880_thumbnail,,
111,40129_thumbnail,,
112,40888_thumbnail,,
113,42125_thumbnail,,
114,42296_thumbnail,,
115,42549_thumbnail,,
116,43796_thumbnail,,
117,44283_thumbnail,,
118,45725_thumbnail,,
119,45990_thumbnail,,
120,46543_thumbnail,,
121,46769_thumbnail,,
122,47960_thumbnail,,
123,51346_thumbnail,,
